#dig start(32;32; Start: Center) 
 , , , , , ,d,d,d,d,d,d,d,d,d, , , , , ,d,d,d, , , ,d,d,d,d,d,d,d,d,d,d,d, , , ,d,d,d, , , , , ,d,d,d,d,d,d,d,d,d, , , , , , , #
 , , ,d,d,d, , ,d,d,d,d,d, , ,d,d,d, , ,d,d,d, , ,d,d,d, ,d,d,d,d,d, ,d,d,d, , ,d,d,d, , ,d,d,d, , ,d,d,d,d,d, , ,d,d,d, , , , #
 , , ,d,d,d, , , , ,d, , , , ,d,d,d, , , , , , ,d,d,d, , , ,d,d,d, , , ,d,d,d, , , , , , ,d,d,d, , , , ,d, , , , ,d,d,d, , , , #
 , , ,d,d,d, , , ,d,d,d, , , ,d,d,d, , , , , ,d,d,d, , , , ,d,d,d, , , , ,d,d,d, , , , , ,d,d,d, , , ,d,d,d, , , ,d,d,d, , , , #
 , , , , , , , ,d,d,d,d,d, , , , , , , , ,d,d,d,d, , , , , ,d,d,d, , , , , ,d,d,d,d, , , , , , , , ,d,d,d,d,d, , , , , , , , , #
 , , , , , , , , ,d,d,d, , , , ,d,d,d,d,d,d,d,d, , ,d,d,d, ,d,d,d, ,d,d,d, , ,d,d,d,d,d,d,d,d, , , , ,d,d,d, , , , , , , , , , #
 , , , , , , , , , ,d, , , , ,d,d, , , ,d,d,d,d, , ,d,d,d,d,d,d,d,d,d,d,d, , ,d,d,d,d, , , ,d,d, , , , ,d, , , , , , , , , , , #
 , , , , , , , , , , , , , ,d,d, , , , , ,d,d, , , ,d,d,d, ,d,d,d, ,d,d,d, , , ,d,d, , , , , ,d,d, , , , , , , , , , , , , , , #
 , , , , , , , , , , , , , ,d, , , , , , , ,d, , , , , , , ,d,d,d, , , , , , , ,d, , , , , , , ,d, , , , , , , , , , , , , , , #
 , , , , , , , , , , , , , ,d, , , , , , , ,d, , , , , , , ,d,d,d, , , , , , , ,d, , , , , , , ,d, , , , , , , , , , , , , , , #
 , , , , , , , , , , , , , ,d, , , , , , , ,d, ,d,d,d, , , ,d,d,d, , , ,d,d,d, ,d, , , , , , , ,d, , , , , , , , , , , , , , , #
 , , , , , , , , , , , , , ,d,d, , , , , ,d,d, ,d,d,d, , , ,d,d,d, , , ,d,d,d, ,d,d, , , , , ,d,d, , , , , , , , , , , , , , , #
 , , , , , , , , , , , , , , ,d,d, , , ,d,d, , ,d,d,d, , ,d,d,d,d,d, , ,d,d,d, , ,d,d, , , ,d,d, , , , , , , , , , , , , , , , #
 , , , , , , , , , , , , , , , ,d,d,d,d,d, , , , , , ,d,d,d,d,d,d,d,d,d, , , , , , ,d,d,d,d,d, , , , , , , , , , , , , , , , , #
 , , , , , , , , , , , , , , , , , , , , , , , , , , ,d,d,d, , , ,d,d,d, , , , , , , , , , , , , , , , , , , , , , , , , , , , #
 , , , , , , , , , , , , , , , , , , , , , , ,d, , ,d,d,d, , ,d, , ,d,d,d, , ,d, , , , , , , , , , , , , , , , , , , , , , , , #
 , , , , , , , , , , , , , , , , , , , , , ,d,d,d, ,d,d, , ,d,d,d, , ,d,d, ,d,d,d, , , , , , , , , , , , , , , , , , , , , , , #
 , , , , , , , , , , , , , , , , , , , , ,d,d,d,d,d,d,d, ,d,d,d,d,d, ,d,d,d,d,d,d,d, , , , , , , , , , , , , , , , , , , , , , #
 , , , , , , , , , , , , , , , , , , , , , ,d,d,d, ,d,d, , ,d,d,d, , ,d,d, ,d,d,d, , , , , , , , , , , , , , , , , , , , , , , #
 , , , , , , , , , , , , , , , , , , , , , , ,d, , ,d,d,d, , ,d, , ,d,d,d, , ,d, , , , , , , , , , , , , , , , , , , , , , , , #
 , , , , , , , , , , , , , , , , , , , , , , , , , , ,d,d,d, , , ,d,d,d, , , , , , , , , , , , , , , , , , , , , , , , , , , , #
 , , , , , , , , , , , , , , , , , , , , , , , , , , ,d,d,d,d,d,d,d,d,d, , , , , , , , , , , , , , , , , , , , , , , , , , , , #
 , , , , , , , , , , , , , , , , , , , , , , , ,d,d,d, , ,d,d,d,d,d, , ,d,d,d, , , , , , , , , , , , , , , , , , , , , , , , , #
 , , , , , , , , , , , , , , , , , , , , , , , ,d,d,d, , , , ,d, , , , ,d,d,d, , , , , , , , , , , , , , , , , , , , , , , , , #
 , , , , , , , , , , , , , , , , , , , , , , , ,d,d,d, , , ,d,d,d, , , ,d,d,d, , , , , , , , , , , , , , , , , , , , , , , , , #
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,d,d,d,d,d, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , #
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,d,d,d, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , #
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,d, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , #
#
